dt,AverageTemperature,AverageTemperatureUncertainty,Country,Year,CountryYear,AverTempYear,Code
41275,2.241,0.516,Afghanistan,2013,Afghanistan2013,0.108448981,4
41275,4.412,0.563,Albania,2013,Albania2013,0.100340022,8
41275,12.781,0.442,Algeria,2013,Algeria2013,0.029836979,12
41275,27.241,0.728,American Samoa,2013,American Samoa2013,0.009257958,16
41275,4.757,0.678,Andorra,2013,Andorra2013,-0.045950468,20
41275,24.33,1.67,Angola,2013,Angola2013,-0.024221547,24
41275,25.919,0.436,Anguilla,2013,Anguilla2013,-0.011360044,660
41275,25.787,0.373,Antigua And Barbuda,2013,Antigua And Barbuda2013,-0.009602745,28
41275,22.477,0.222,Argentina,2013,Argentina2013,-0.068384169,32
41275,-2.414,0.542,Armenia,2013,Armenia2013,0.203825712,51
41275,27.012,0.545,Aruba,2013,Aruba2013,-0.010690476,533
41275,29.861,0.176,Australia,2013,Australia2013,-0.013255522,36
41275,-2.405,0.246,Austria,2013,Austria2013,0.072681774,40
41275,2.585,0.494,Azerbaijan,2013,Azerbaijan2013,0.182659213,31
41275,23.901,0.478,Bahamas,2013,Bahamas2013,-0.006442495,44
41275,17.549,0.476,Bahrain,2013,Bahrain2013,0.020266526,48
41275,16.922,0.585,Bangladesh,2013,Bangladesh2013,0.027161552,50
41275,26.088,0.285,Barbados,2013,Barbados2013,-0.006886216,52
41275,-6.989,0.497,Belarus,2013,Belarus2013,0.229234563,112
41275,1.65,0.356,Belgium,2013,Belgium2013,-0.074526805,56
41275,23.712,0.262,Belize,2013,Belize2013,0.013454302,84
41275,27.093,0.757,Benin,2013,Benin2013,0.007010355,204
41275,3.455,0.358,Bhutan,2013,Bhutan2013,0.08982499,64
41275,2.086,0.36,Bosnia And Herzegovina,2013,Bosnia And Herzegovina2013,0.120427426,70
41275,27.527,1.018,Botswana,2013,Botswana2013,-0.067082945,72
41275,26.239,0.301,Brazil,2013,Brazil2013,-0.010650443,76
41275,1.298,0.593,Bulgaria,2013,Bulgaria2013,0.22449329,100
41275,25.118,0.384,Burkina Faso,2013,Burkina Faso2013,0.017380165,854
41275,21.168,0.352,Burundi,2013,Burundi2013,-0.003276587,108
41275,25.829,0.288,Cambodia,2013,Cambodia2013,0.035173218,116
41275,25.382,0.87,Cameroon,2013,Cameroon2013,0.011805843,120
41275,-21.633,0.239,Canada,2013,Canada2013,-0.574901757,124
41275,26.034,0.419,Cayman Islands,2013,Cayman Islands2013,-0.003358317,136
41275,26.562,0.778,Central African Republic,2013,Central African Republic2013,0.007535765,140
41275,23.392,1.064,Chad,2013,Chad2013,0.017143096,148
41275,15.224,0.46,Chile,2013,Chile2013,-0.019947743,152
41275,-8.137,0.369,China,2013,China2013,0.235708588,156
41275,27.061,0.662,Christmas Island,2013,Christmas Island2013,0.011894393,162
41275,25.695,0.574,Colombia,2013,Colombia2013,-0.002955851,170
41275,28.221,0.449,Comoros,2013,Comoros2013,-0.002166313,174
41275,24.981,0.518,Congo (Democratic Republic Of The),2013,Congo (Democratic Republic Of The)2013,-0.000283235,180
41275,25.476,0.332,Congo,2013,Congo2013,0.003297515,178
